Nr,Naam Usecase,Project Partners & Locatie,Type Robot,Radar (Status),Bouwtaak,Omschrijving & Impact
1,Robot gemetselde muur,"Dura Vermeer, Monumental (Amsterdam, NL)",Hybride Robots,Adopt,Afbouw,"Een vloot van autonome robots die complexe bakstenen gevels bouwt, ontworpen om het wereldwijde tekort aan arbeidskrachten en woningen aan te pakken."
2,HP SitePrint,HP (Globaal),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten,"Een autonome printrobot die bouwtekeningen direct op de werkvloer uitzet, wat de lay-out productiviteit en precisie aanzienlijk verhoogt in vergelijking met handmatig werk."
3,TyBOT,Advanced Construction Robotics (USA),Overig / Gantry,Adopt,GWW & grondwerk,Een autonome robot die wapeningsstaal op bruggen vastbindt zonder pre-programmering
4,Hadrian X,FBR (USA / Australië),Articulated Robots,Adopt / Trial,Ruwbouw,"Een truck-gemonteerde automatische metselrobot die via 3D CAD-modellen op hoge snelheid betonblokken legt, wat handmatig zwaar tillen vervangt."
5,Zelfrijdende asfaltwals,"Heijmans, Avular, Dynapac (Schiphol, NL)",Automated Guided Vehicles (AGV's),Trial,GWW & grondwerk,"Autonome walsen voor de wegenbouw die de asfalteringskwaliteit verhogen en operators weghalen uit gevaarlijke, fysiek zware werkzones."
6,Tiger-Stone / RoadPrinter,Tiger-Stone (Nederland),Overig,Adopt,GWW & grondwerk,"Een zwaartekrachtgebaseerde bestratingsmachine waarbij stratenmakers op een platform rechtop staan om stenen in te voeren, wat continu werken op de knieën elimineert."
7,3D-geprinte woningen,"Weber Beamix (Eindhoven, NL)",Articulated Robots,Adopt,Ruwbouw,Het inzetten van robotarmen voor het lokaal 3D-printen van dragende betonnen muren
8,LIFTBOT,"Kewazo (Rosemount, MN)",Overig,Adopt,Logistiek & ondersteuning,"Een autonoom en slim liftsysteem voor steigerbouw dat zwaar bouwmateriaal transporteert, ter verlichting van de logistieke last op vakmensen."
9,Semi-automatische boorrobot,"Hilti, De Groot Installatietechniek (Groningen, NL)",Hybride Robots,Adopt,Installatie & montage,Een mobiele robot (Jaibot) die autonoom bovenhandse gaten boort in plafonds
10,Tesla Optimus Gen 3,Tesla (Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,"Een mensachtige robot in ontwikkeling voor ongestructureerde werkomgevingen, met de potentie om repetitieve, fysieke logistieke taken in de bouw over te nemen."
11,Sitegeist Betonherstel,"Sitegeist / TUM (München, DE)",Automated Guided Vehicles (AGV's),Adopt,Installatie & montage,Een AI-gestuurde robot die zonder 3D-model beschadigd beton verwijdert. Het werkt tot 10x sneller dan handmatig en verlaagt veiligheidsrisico's aanzienlijk.
12,Robotplotter,"Ballast Nedam, Tyker (Vlaardingen, NL)",Automated Guided Vehicles (AGV's),Adopt,Installatie & montage,"Een mobiele robot voor het autonoom en digitaal uitzetten van markeringen en lijnen op de bouwplaats, wat foutmarges verkleint en efficiëntie verhoogt."
13,Drone Inspectie,"Ballast Nedam, ZXY Builders (Nederland)",Overig (Drone),Adopt,Inspectie & inmeten,Inzet van drones voor luchtinspecties en inmeten. Neemt gevaarlijke inspectietaken op hoogte over en zorgt voor consistente dataverzameling.
14,AI-noodremassistent Vrachtwagen,"Heijmans, BAS Truck Center (Veghel, NL)",Overig,Trial,Logistiek & ondersteuning,"Toepassing van geautomatiseerde remsystemen op zwaar transport om de veiligheid in de onvoorspelbare, dynamische omgeving van een bouwplaats te borgen."
15,Robotic 3D Printing Trap,"Neolithic 3D (Haarlem / Zwolle, NL)",Articulated Robots,Adopt,In de fabriek (Prefab),"Het gebruik van robotarmen in een gecontroleerde fabrieksomgeving om betonnen trappen te 3D-printen, wat materiaal bespaart en zwaar gietwerk op de bouwplaats elimineert."
16,Atlas,Boston Dynamics (Globaal),Humanoïde robots,Concept / Trial,Logistiek & inspectie,Een geavanceerde tweevoetige robot die fungeert als onderzoeksplatform voor mobiliteit en balans. Biedt in de toekomst potentie voor navigatie op complexe bouwplaatsen vol obstakels.
17,Figure 01,Figure AI (Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,"Ontwikkeld voor industriële en logistieke toepassingen. Ontworpen om te opereren in een omgeving gebouwd voor mensen, ideaal voor hybride samenwerking en assisterende taken."
18,Digit,Agility Robotics (Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,"Een tweevoetige robot speciaal ontwikkeld voor logistieke taken zoals het tillen en verplaatsen van materialen, wat de loopafstanden en fysieke belasting voor bouwvakkers vermindert."
19,Mobiele 3D Betonprinter,CyBe Construction (Nederland),Articulated Robots,Adopt,Ruwbouw,"Robotarmen op rupsbanden of vaste opstellingen (zoals ingezet bij 'De Vergaderfabriek') die muren en structuren on-site printen, ter vervanging van fysiek intensief metselwerk."
20,Passief Exoskelet (Wearable Robot),Diverse ontwikkelaars,Overig (Exoskeleton),Trial / Adopt,GWW & Ruwbouw,"Draagbare robotica (zoals passieve exoskeletten) die het lichaam mechanisch ondersteunen tijdens langdurig voorovergebogen of zwaar werk, zoals het vlechten van wapeningsstaal, ter reductie van lage rugklachten."
21,IronBOT,Advanced Construction Robotics (USA),Overig / Gantry,Adopt,GWW & grondwerk,Werkt naadloos samen met de TyBOT
22,Apptronik Apollo,Apptronik (USA / Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,"Een humanoïde robot ontworpen voor algemene inzetbaarheid, ideaal voor het tillen van materialen en het assisteren van menselijke collega's op dynamische bouwplaatsen."
23,Autonome Wals (BOMAG/Fayat),Fayat Group (Internationaal),Automated Guided Vehicles (AGV's),Trial,GWW & grondwerk,Zelfrijdende walsen voor de verdichting van asfalt en grond
24,Project Milestone (3D-print),"Weber Beamix e.a. (Eindhoven, NL)",Articulated Robots,Adopt,Ruwbouw,"Een grootschalig project waarbij complete, bewoonbare betonnen huizen laagsgewijs worden geprint, wat materiaalverspilling minimaliseert en de bouwtijd verkort."
25,Newo Metselrobot,Newo / Start-ups (Nederland),Hybride Robots,Trial / Adopt,Afbouw,"Een innovatieve Nederlandse toepassing om het traditionele, fysiek zware metselwerk te automatiseren met behulp van AI en robotica, inspelend op het tekort aan vaklieden."
26,Passief Exoskelet (Specifiek voor vlechtwerk),Diverse (Onderzoeksfase) (Globaal),Overig (Exoskeleton),Trial,GWW & Ruwbouw,Een draagbare robotische ondersteuning die specifiek is getest om de spieractiviteit in de onderrug significant te verlagen tijdens het langdurig voorovergebogen vlechten van staal.
27,Sanctuary AI Phoenix,Sanctuary AI (Globaal),Humanoïde robots,Concept,Assisterende montage,Een geavanceerde humanoïde robot met een focus op fijne motoriek en AI
28,1X Neo / Eve,1X Robotics (Globaal),Humanoïde robots,Concept / Trial,Beveiliging & Inspectie,Tweevoetige en op wielen gebaseerde humanoïde robots die door hun wendbaarheid geschikt zijn voor autonome inspectie- en veiligheidsrondes buiten de reguliere werktijden.
29,Robotica in Real Estate & Onderhoud,Diverse leveranciers (Globaal),Automated Guided Vehicles (AGV's),Adopt,Renovatie & Onderhoud,"Facilitaire en onderhoudsrobots die ingezet worden na de bouwfase, bijvoorbeeld voor complexe schoonmaak of inspectie van gevels, waardoor gevaarlijk werk op hoogte afneemt."
30,Autonome Veiligheidsrobots,Diverse (Start-ups) (Globaal),Hybride / AGV,Trial / Adopt,Inspectie & inmeten,"Robots uitgerust met sensoren die zelfstandig gevaarlijke zones (zoals instabiele structuren of slooplocaties) betreden om data te verzamelen, zodat mensen op veilige afstand blijven."
31,Spot (Bouwhond),"Boston Dynamics, Trimble (Globaal)",Overig (Quadruped),Adopt,Inspectie & inmeten,"Een wendbare, vierbenige robot uitgerust met 3D-laserscanners die zelfstandig door ruwe bouwplaatsen navigeert om de dagelijkse voortgang vast te leggen en veiligheidsrisico's te monitoren."
32,SAM100 (Semi-Automated Mason),Construction Robotics (USA / Globaal),Hybride Robots,Adopt,Afbouw / Ruwbouw,"Een robot die samenwerkt met een metselaar. SAM100 neemt het repetitieve tillen en plaatsen van bakstenen voor zijn rekening, terwijl de vakman zich richt op de afwerking en kwaliteit."
33,MULE (Lift-assistent),Construction Robotics (USA / Globaal),Overig (Ergonomie),Adopt,Logistiek & ondersteuning,"Een semi-geautomatiseerd hijssysteem (Material Unit Lift Enhancer) dat zware bouwblokken gewichtloos laat aanvoelen, wat fysieke uitputting en rugklachten bij bouwvakkers drastisch vermindert."
34,Canvas (Gipsplaat-afwerking),Canvas (USA),Hybride Robots,Trial / Adopt,Afbouw,Een mobiele robotarm die autonoom naden van gipsplaten vult en schuurt. Dit vermindert de blootstelling van werknemers aan gevaarlijk fijnstof en langdurig bovenhands werken.
35,Exosystem (Autonoom Graven),Built Robotics (USA / Australië),Automated Guided Vehicles (AGV's),Adopt,GWW & grondwerk,Een aftermarket-systeem dat reguliere graafmachines transformeert in autonome sleuvengravers. Verhoogt de productiviteit en haalt operators uit gevaarlijke greppels.
36,Dusty FieldPrinter,Dusty Robotics (USA),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten,Een mobiele robot die digitale BIM-modellen rechtstreeks op betonnen vloeren print (vergelijkbaar met HP SitePrint). Vermindert meetfouten en versnelt de voorbereiding voor installateurs.
37,BOD2 (3D Betonprinter),COBOD (Denemarken / Globaal),Overig (Gantry),Adopt,Ruwbouw,Een modulaire 3D-constructieprinter die laagsgewijs funderingen en muren print. Wordt wereldwijd ingezet om snel en met minimale materiaalverspilling (prefab) woningen op te bouwen.
38,Op afstand bestuurbare Slooprobots,Brokk / Husqvarna (Globaal),Hybride Robots,Adopt,Sloop & Demontage,"Compacte robots op rupsbanden met zware sloophamers, bediend op veilige afstand. Deze elimineren het risico op instortingen of trillingsziektes (wittevingersyndroom) bij werknemers."
39,ANYmal (Industriële Inspectie),ANYbotics (Zwitserland),Overig (Quadruped),Trial / Adopt,Inspectie & inmeten,"Een robuuste robotische hond, ontworpen voor complexe industriële omgevingen. Ideaal voor het autonoom inspecteren van gevaarlijke of moeilijk bereikbare zones, zoals tunnels of energiecentrales in aanbouw."
40,Autonome Bouwplaats Rover,Scaled Robotics (Spanje / Globaal),Automated Guided Vehicles (AGV's),Trial,Inspectie & inmeten,Een compact voertuig dat autonoom over de bouwplaats rijdt om 3D-scans te maken. De software vergelijkt de gebouwde realiteit direct met het BIM-model om faalkosten in een vroeg stadium te voorkomen.
41,Schindler R.I.S.E,Schindler (Zwitserland / Globaal),Hybride Robots,Adopt,Installatie & montage,"Een autonome boorrobot (Robotic Installation System for Elevators) die zelfstandig de ruwe liftkoker scant en gaten boort voor de geleiderails. Haalt monteurs uit een repetitieve, gevaarlijke werkomgeving."
42,Baubot (Modulair Platform),Printstones (Oostenrijk),Automated Guided Vehicles (AGV's),Trial,Ruwbouw / Logistiek,"Een mobiel robotplatform op rupsbanden dat kan worden uitgerust met wisselbare robotarmen en tools (zoals frezen, boren of printen). Zeer flexibel voor wisselende omstandigheden op de bouwplaats."
43,Okibo Schilderrobot,Okibo (Israël),Hybride Robots,Trial,Afbouw,Een autonome mobiele robot die muren en plafonds in 3D inmeet en vervolgens zelfstandig pleisterwerk en verf aanbrengt. Dit elimineert de noodzaak voor schilders om dagenlang op steigers of trappen te werken.
44,Elios (Besloten Ruimtes),Flyability (Zwitserland),Overig (Drone),Adopt,Inspectie & inmeten,"Een inspectiedrone beschermd door een bolvormige kooi. Wordt gebruikt in de bouw om diepe schachten, leidingsystemen en kruipruimtes te inspecteren zonder dat mensen fysiek deze nauwe, gevaarlijke ruimtes in hoeven."
45,Autonoom Grondverzet,Caterpillar (Command) / Komatsu (USA / Japan),Automated Guided Vehicles (AGV's),Adopt,GWW & grondwerk,"Het automatiseren van zware graafmachines en bulldozers op grote infraprojecten. Ze voeren grondverzet op basis van GPS en 3D-modellen volledig autonoom uit, wat zorgt voor millimeterprecisie en veiligere werkterreinen."
46,Volautomatische Vlinderrobot,o.a. Wacker Neuson / Somero (Globaal),Hybride Robots,Trial / Adopt,Ruwbouw,"Zelfrijdende betonafwerkingsmachines (vlindermachines) die recent gestorte betonvloeren polijsten. Neemt zwaar trillend, nachtelijk werk over waarbij de operator normaal in een onnatuurlijke houding moet zitten."
47,Kite Robot,Kite Robotics (Nederland),Overig (Kabelrobot),Adopt,Renovatie & Onderhoud,Een geautomatiseerd was- en reinigingssysteem voor gevels en ramen dat via kabels langs het gebouw beweegt. Vervangt gevaarlijk werk waarbij glazenwassers in hangbakken op grote hoogte moeten werken.
48,C-Bot (Prefab Robotlassen),Diverse staalbouwers (Globaal),Articulated Robots,Adopt,In de fabriek (Prefab),"Het inzetten van industriële robotarmen om stalen constructiedelen (zoals HEA-balken) in de fabriek te lassen, rechtstreeks aangestuurd vanuit het BIM-model. Vangt het chronische tekort aan gecertificeerde lassers op."
49,Crawler Robots (Leidinginspectie),Diverse leveranciers (o.a. IBAK) (Globaal),Automated Guided Vehicles (AGV's),Adopt,Inspectie & inmeten,"Kleine wagentjes op wielen of rupsbanden, voorzien van camera's, die door nieuw aangelegde buizen en rioleringen rijden om direct kwaliteitscontroles uit te voeren zonder graafwerk achteraf."
50,AI-Kranen (Vita Load Navigator),Vita Inclinata (USA),Overig (Slim hijsen),Adopt,Logistiek & ondersteuning,"Een systeem met actuatoren en AI dat aan de haak van een hijskraan hangt en grote lasten (zoals prefab betonplaten) volautomatisch stabiliseert, zelfs bij harde wind. Voorkomt dodelijke ongevallen en ontlast de kraanmachinist."
51,SkyMul SkyTy,SkyMul (Globaal / USA),Overig (Drones),Trial / Concept,GWW & Ruwbouw,"Een zwerm drones ontworpen om autonoom wapeningsstaal (rebar) te detecteren en te vlechten vanuit de lucht. Dit versnelt de productiviteit en haalt werknemers weg van zware, repetitieve taken op de grond en oneffen terrein."
52,BackX (SuitX / U.S. Bionics),SuitX (Globaal),Overig (Passief Exoskelet),Adopt,GWW & Ruwbouw,"Een passief draagbaar exoskelet dat specifiek de onderrug mechanisch ondersteunt tijdens langdurig voorovergebogen werk, zoals het vlechten van staal of handmatig bestraten. Het verlaagt het risico op spier- en gewrichtsklachten aanzienlijk."
53,Hilti EXO-01,Hilti (Globaal),Overig (Passief Exoskelet),Adopt,Installatie & montage,"Een draagbaar exoskelet ontworpen om de armen en schouders te ondersteunen bij zwaar, repetitief bovenhands werk (zoals gaten boren in plafonds of leidingen installeren), wat vermoeidheid en blessures bij installateurs voorkomt."
54,Unitree G1 / H1,Unitree Robotics (Globaal),Humanoïde robots,Concept / Trial,Logistiek & Inspectie,"Betaalbare en uiterst wendbare humanoïde robots met AI, ontworpen om te navigeren in complexe en ongestructureerde bouwomgevingen. Ze bieden potentie voor autonome inspectierondes of het verplaatsen van bouwmaterialen."
55,Neura 4NE-1,Neura Robotics (Duitsland / Globaal),Humanoïde robots,Concept / Trial,Logistiek & ondersteuning,Een cognitieve humanoïde robot die is uitgerust met geavanceerde sensoren om veilig en naadloos met mensen samen te werken. Gericht op materiaalverwerking en het assisteren van vakmensen om fysieke overbelasting te voorkomen.
